Logging to ./baseline_seed_data/bipedalwalker/
---------------------------------
| rollout/           |          |
|    entropy_loss         | -5.48        |
|    explained_variance   | 0.38         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0927       |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00496     |
|    std                  | 0.953        |
|    value_loss           | 22.1         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 596         |
|    ep_rew_mean          | -112        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 12          |
|    time_elapsed         | 52          |
|    total_timesteps      | 24576       |
| train/                  |             |
|    approx_kl            | 0.010771472 |
|    clip_fraction        | 0.0916      |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.42       |
|    explained_variance   | 0.287       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.112       |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.00869    |
|    std                  | 0.925       |
|    value_loss           | 0.502       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 607         |
|    ep_rew_mean          | -112        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 13          |
|    time_elapsed         | 56          |
|    total_timesteps      | 26624       |
| train/                  |             |
|    approx_kl            | 0.009610464 |
|    clip_fraction        | 0.0995      |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.35       |
|    explained_variance   | 0.481       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.226       |
|    n_updates            | 120         |
|    policy_gradient_loss | -0.00711    |
|    std                  | 0.921       |
|    value_loss           | 17.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 618         |
|    ep_rew_mean          | -111        |
| time/                   |             |
|    fps                  | 462         |
|    iterations           | 14          |
|    time_elapsed         | 61          |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.006227468 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.33       |
|    explained_variance   | 0.0492      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.618       |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0091     |
|    std                  | 0.915       |
|    value_loss           | 32.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 627         |
|    ep_rew_mean          | -111        |
| time/                   |             |
|    fps                  | 467         |
|    iterations           | 15          |
|    time_elapsed         | 65          |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.008764628 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.3        |
|    explained_variance   | 0.366       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.139       |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00856    |
|    std                  | 0.909       |
|    value_loss           | 21          |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 667         |
|    ep_rew_mean          | -110        |
| time/                   |             |
|    fps                  | 472         |
|    iterations           | 16          |
|    time_elapsed         | 69          |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.009427232 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.29       |
|    explained_variance   | 0.499       |
|    learning_rate        | 0.0003      |
|    loss                 | 13.2        |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00348    |
|    std                  | 0.909       |
|    value_loss           | 17.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 686         |
|    ep_rew_mean          | -110        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 17          |
|    time_elapsed         | 74          |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.011445956 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.27       |
|    explained_variance   | -0.329      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.316       |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.00927    |
|    std                  | 0.899       |
|    value_loss           | 0.619       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 704         |
|    ep_rew_mean          | -109        |
| time/                   |             |
|    fps                  | 471         |
|    iterations           | 18          |
|    time_elapsed         | 78          |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.012023717 |
|    clip_fraction        | 0.14        |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.21       |
|    explained_variance   | -0.954      |
|    learning_rate        | 0.0003      |
|    loss                 | 0.061       |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0102     |
|    std                  | 0.885       |
|    value_loss           | 0.141       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 721         |
|    ep_rew_mean          | -108        |
| time/                   |             |
|    fps                  | 475         |
|    iterations           | 19          |
|    time_elapsed         | 81          |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.010487774 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.16       |
|    explained_variance   | 0.00699     |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0521      |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0118     |
|    std                  | 0.875       |
|    value_loss           | 0.14        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 753         |
|    ep_rew_mean          | -107        |
| time/                   |             |
|    fps                  | 478         |
|    iterations           | 20          |
|    time_elapsed         | 85          |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.009823848 |
|    clip_fraction        | 0.107       |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.11       |
|    explained_variance   | 0.182       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0226      |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00828    |
|    std                  | 0.864       |
|    value_loss           | 0.0664      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 769         |
|    ep_rew_mean          | -107        |
| time/                   |             |
|    fps                  | 468         |
|    iterations           | 21          |
|    time_elapsed         | 91          |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.008151724 |
|    clip_fraction        | 0.0722      |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.09       |
|    explained_variance   | 0.313       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.102       |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00675    |
|    std                  | 0.865       |
|    value_loss           | 0.183       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 784         |
|    ep_rew_mean          | -106        |
| time/                   |             |
|    fps                  | 472         |
|    iterations           | 22          |
|    time_elapsed         | 95          |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.009366987 |
|    clip_fraction        | 0.0897      |
|    clip_range           | 0.2         |
|    entropy_loss         | -5.05       |
|    explained_variance   | 0.541       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00492     |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0111     |
|    std                  | 0.85        |
|    value_loss           | 0.116       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 812          |
|    ep_rew_mean          | -105         |
| time/                   |              |
|    fps                  | 474          |
|    iterations           | 23           |
|    time_elapsed         | 99           |
|    total_timesteps      | 47104        |
| train/                  |              |
|    approx_kl            | 0.0071511418 |
|    clip_fraction        | 0.102        |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.99        |
|    explained_variance   | 0.631        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0205       |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00882     |
|    std                  | 0.84         |
|    value_loss           | 0.0632       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 825         |
|    ep_rew_mean          | -104        |
| time/                   |             |
|    fps                  | 469         |
|    iterations           | 24          |
|    time_elapsed         | 104         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.010997866 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.95       |
|    explained_variance   | 0.484       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0227      |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0126     |
|    std                  | 0.832       |
|    value_loss           | 0.0752      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 838         |
|    ep_rew_mean          | -103        |
| time/                   |             |
|    fps                  | 470         |
|    iterations           | 25          |
|    time_elapsed         | 108         |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.009016686 |
|    clip_fraction        | 0.0904      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.88       |
|    explained_variance   | 0.565       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0139      |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.01       |
|    std                  | 0.813       |
|    value_loss           | 0.0788      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 838         |
|    ep_rew_mean          | -103        |
| time/                   |             |
|    fps                  | 474         |
|    iterations           | 26          |
|    time_elapsed         | 112         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.009633593 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.83       |
|    explained_variance   | 0.613       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0399      |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0113     |
|    std                  | 0.807       |
|    value_loss           | 0.0754      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 862         |
|    ep_rew_mean          | -101        |
| time/                   |             |
|    fps                  | 475         |
|    iterations           | 27          |
|    time_elapsed         | 116         |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.006960637 |
|    clip_fraction        | 0.053       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.81       |
|    explained_variance   | -0.0283     |
|    learning_rate        | 0.0003      |
|    loss                 | 25.5        |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.00669    |
|    std                  | 0.807       |
|    value_loss           | 17.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 873         |
|    ep_rew_mean          | -100        |
| time/                   |             |
|    fps                  | 473         |
|    iterations           | 28          |
|    time_elapsed         | 121         |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.011347454 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.76       |
|    explained_variance   | -1.33       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0319      |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0115     |
|    std                  | 0.788       |
|    value_loss           | 0.191       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 884         |
|    ep_rew_mean          | -99.6       |
| time/                   |             |
|    fps                  | 476         |
|    iterations           | 29          |
|    time_elapsed         | 124         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.008019365 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.69       |
|    explained_variance   | 0.611       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0274      |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0109     |
|    std                  | 0.778       |
|    value_loss           | 0.118       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 895         |
|    ep_rew_mean          | -98.9       |
| time/                   |             |
|    fps                  | 479         |
|    iterations           | 30          |
|    time_elapsed         | 128         |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.012496727 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.64       |
|    explained_variance   | 0.616       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0228      |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0113     |
|    std                  | 0.769       |
|    value_loss           | 0.173       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 915         |
|    ep_rew_mean          | -97         |
| time/                   |             |
|    fps                  | 479         |
|    iterations           | 31          |
|    time_elapsed         | 132         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.011485701 |
|    clip_fraction        | 0.139       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.6        |
|    explained_variance   | 0.551       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0296      |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0141     |
|    std                  | 0.759       |
|    value_loss           | 0.134       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 925         |
|    ep_rew_mean          | -96.1       |
| time/                   |             |
|    fps                  | 478         |
|    iterations           | 32          |
|    time_elapsed         | 136         |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.008681348 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.54       |
|    explained_variance   | 0.772       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0709      |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0105     |
|    std                  | 0.749       |
|    value_loss           | 0.113       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 934         |
|    ep_rew_mean          | -95.1       |
| time/                   |             |
|    fps                  | 481         |
|    iterations           | 33          |
|    time_elapsed         | 140         |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.011024747 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.51       |
|    explained_variance   | 0.736       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0444      |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0104     |
|    std                  | 0.745       |
|    value_loss           | 0.133       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 953         |
|    ep_rew_mean          | -93.2       |
| time/                   |             |
|    fps                  | 483         |
|    iterations           | 34          |
|    time_elapsed         | 143         |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.012605363 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.47       |
|    explained_variance   | 0.78        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0231      |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0145     |
|    std                  | 0.734       |
|    value_loss           | 0.124       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 961         |
|    ep_rew_mean          | -92.2       |
| time/                   |             |
|    fps                  | 482         |
|    iterations           | 35          |
|    time_elapsed         | 148         |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.009823796 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.4        |
|    explained_variance   | 0.763       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0502      |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0123     |
|    std                  | 0.723       |
|    value_loss           | 0.189       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 970         |
|    ep_rew_mean          | -91.2       |
| time/                   |             |
|    fps                  | 482         |
|    iterations           | 36          |
|    time_elapsed         | 152         |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.010645686 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.34       |
|    explained_variance   | 0.779       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0545      |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0122     |
|    std                  | 0.711       |
|    value_loss           | 0.16        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 978         |
|    ep_rew_mean          | -90.1       |
| time/                   |             |
|    fps                  | 484         |
|    iterations           | 37          |
|    time_elapsed         | 156         |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.012015464 |
|    clip_fraction        | 0.155       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.29       |
|    explained_variance   | 0.838       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0395      |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0127     |
|    std                  | 0.702       |
|    value_loss           | 0.124       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 994         |
|    ep_rew_mean          | -88         |
| time/                   |             |
|    fps                  | 486         |
|    iterations           | 38          |
|    time_elapsed         | 160         |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.011130155 |
|    clip_fraction        | 0.106       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.24       |
|    explained_variance   | 0.82        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0495      |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.00866    |
|    std                  | 0.696       |
|    value_loss           | 0.123       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -86.8       |
| time/                   |             |
|    fps                  | 483         |
|    iterations           | 39          |
|    time_elapsed         | 165         |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.011101438 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.19       |
|    explained_variance   | 0.809       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0433      |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00964    |
|    std                  | 0.686       |
|    value_loss           | 0.142       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.01e+03    |
|    ep_rew_mean          | -85.5       |
| time/                   |             |
|    fps                  | 485         |
|    iterations           | 40          |
|    time_elapsed         | 168         |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.012067785 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.13       |
|    explained_variance   | 0.839       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0273      |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0146     |
|    std                  | 0.674       |
|    value_loss           | 0.14        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.02e+03    |
|    ep_rew_mean          | -83.1       |
| time/                   |             |
|    fps                  | 486         |
|    iterations           | 41          |
|    time_elapsed         | 172         |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.010191161 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.08       |
|    explained_variance   | 0.829       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.108       |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.00972    |
|    std                  | 0.671       |
|    value_loss           | 0.201       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.03e+03    |
|    ep_rew_mean          | -81.9       |
| time/                   |             |
|    fps                  | 488         |
|    iterations           | 42          |
|    time_elapsed         | 176         |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.013042887 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.05       |
|    explained_variance   | 0.857       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.046       |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0144     |
|    std                  | 0.662       |
|    value_loss           | 0.173       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.04e+03    |
|    ep_rew_mean          | -80.5       |
| time/                   |             |
|    fps                  | 486         |
|    iterations           | 43          |
|    time_elapsed         | 181         |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.010050251 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.01       |
|    explained_variance   | 0.859       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0935      |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00994    |
|    std                  | 0.658       |
|    value_loss           | 0.157       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.04e+03    |
|    ep_rew_mean          | -79.3       |
| time/                   |             |
|    fps                  | 487         |
|    iterations           | 44          |
|    time_elapsed         | 184         |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.012421728 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.98       |
|    explained_variance   | 0.884       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0644      |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0109     |
|    std                  | 0.65        |
|    value_loss           | 0.146       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.06e+03    |
|    ep_rew_mean          | -76.8       |
| time/                   |             |
|    fps                  | 489         |
|    iterations           | 45          |
|    time_elapsed         | 188         |
|    total_timesteps      | 92160       |
| train/                  |             |
|    approx_kl            | 0.012567062 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -3.93       |
|    explained_variance   | 0.871       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0498      |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.0124     |
|    std                  | 0.643       |
|    value_loss           | 0.182       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.06e+03     |
|    ep_rew_mean          | -75.5        |
| time/                   |              |
|    fps                  | 489          |
|    iterations           | 46           |
|    time_elapsed         | 192          |
|    total_timesteps      | 94208        |
| train/                  |              |
